name,year,genre,duration,rating,url
Spotlight,2015,Biography,2h 9m,8.1,https://www.imdb.com/title/tt1895587/?ref_=adv_li_tt
Hachi: A Dog's Tale,2009,Biography,1h 33m,8.1,https://www.imdb.com/title/tt1028532/?ref_=adv_li_tt
Rush,2013,Action,2h 3m,8.1,https://www.imdb.com/title/tt1979320/?ref_=adv_li_tt
12 Years a Slave,2013,Biography,2h 14m,8.1,https://www.imdb.com/title/tt2024544/?ref_=adv_li_tt
Hacksaw Ridge,2016,Biography,2h 19m,8.1,https://www.imdb.com/title/tt2119532/?ref_=adv_li_tt
The Grapes of Wrath,1940,Drama,2h 9m,8.1,https://www.imdb.com/title/tt0032551/?ref_=adv_li_tt
Wild Tales,2014,Comedy,2h 2m,8.1,https://www.imdb.com/title/tt3011894/?ref_=adv_li_tt
Gone Girl,2014,Drama,2h 29m,8.1,https://www.imdb.com/title/tt2267998/?ref_=adv_li_tt
Memories of Murder,2003,Crime,2h 12m,8.1,https://www.imdb.com/title/tt0353969/?ref_=adv_li_tt
Mr. Smith Goes to Washington,1939,Comedy,2h 9m,8.1,https://www.imdb.com/title/tt0031679/?ref_=adv_li_tt
Rebecca,1940,Drama,2h 10m,8.1,https://www.imdb.com/title/tt0032976/?ref_=adv_li_tt
On the Waterfront,1954,Crime,1h 48m,8.1,https://www.imdb.com/title/tt0047296/?ref_=adv_li_tt
The Best Years of Our Lives,1946,Drama,2h 50m,8.1,https://www.imdb.com/title/tt0036868/?ref_=adv_li_tt
The Seventh Seal,1957,Drama,1h 36m,8.1,https://www.imdb.com/title/tt0050976/?ref_=adv_li_tt
Wild Strawberries,1957,Drama,1h 31m,8.1,https://www.imdb.com/title/tt0050986/?ref_=adv_li_tt
Ben-Hur,1959,Adventure,3h 32m,8.1,https://www.imdb.com/title/tt0052618/?ref_=adv_li_tt
The Battle of Algiers,1966,Drama,2h 1m,8.1,https://www.imdb.com/title/tt0058946/?ref_=adv_li_tt
The Sound of Music,1965,Biography,2h 52m,8.1,https://www.imdb.com/title/tt0059742/?ref_=adv_li_tt
The 400 Blows,1959,Crime,1h 39m,8.1,https://www.imdb.com/title/tt0053198/?ref_=adv_li_tt
Cool Hand Luke,1967,Crime,2h 7m,8.1,https://www.imdb.com/title/tt0061512/?ref_=adv_li_tt
Network,1976,Drama,2h 1m,8.1,https://www.imdb.com/title/tt0074958/?ref_=adv_li_tt
Barry Lyndon,1975,Adventure,3h 5m,8.1,https://www.imdb.com/title/tt0072684/?ref_=adv_li_tt
The Deer Hunter,1978,Drama,3h 3m,8.1,https://www.imdb.com/title/tt0077416/?ref_=adv_li_tt
Persona,1966,Drama,1h 23m,8.1,https://www.imdb.com/title/tt0060827/?ref_=adv_li_tt
Gandhi,1982,Biography,3h 11m,8.1,https://www.imdb.com/title/tt0083987/?ref_=adv_li_tt
